path,unit,asset,horizon_bd,panel,target_type,level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_mkt_mom_63,ctx_mkt_rv_63,ctx_mom_mom_63,ctx_usd_mom_63,ctx_usd_rv_63,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63,ctx_cpi_yoy,ctx_core_yoy,ctx_unrate,ctx_unrate_chg_3,ctx_nfp_3m
units/t2-F1-hawkish-cut-2024/xy/UST_2Y__h189.parquet,t2-F1-hawkish-cut-2024,UST_2Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-jpy-ycc-flex-2018/xy/JPY__h126.parquet,t2-F1-jpy-ycc-flex-2018,JPY,126,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-jpy-ycc-flex-2018/xy/JPY__h189.parquet,t2-F1-jpy-ycc-flex-2018,JPY,189,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-liftoff-telegraph-2015/xy/UST_2Y__h126.parquet,t2-F1-liftoff-telegraph-2015,UST_2Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-liftoff-telegraph-2015/xy/UST_2Y__h189.parquet,t2-F1-liftoff-telegraph-2015,UST_2Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-measured-pace-2004/xy/UST_2Y__h126.parquet,t2-F1-measured-pace-2004,UST_2Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-measured-pace-2004/xy/UST_2Y__h189.parquet,t2-F1-measured-pace-2004,UST_2Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-normalization-2017/xy/UST_10Y__h127.parquet,t2-F1-normalization-2017,UST_10Y,127,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-patient-dropped-2015/xy/UST_2Y__h129.parquet,t2-F1-patient-dropped-2015,UST_2Y,129,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-pause-2006/xy/UST_10Y__h126.parquet,t2-F1-pause-2006,UST_10Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-pause-2006/xy/UST_10Y__h189.parquet,t2-F1-pause-2006,UST_10Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-pause-2006/xy/UST_2Y__h126.parquet,t2-F1-pause-2006,UST_2Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-pause-2006/xy/UST_2Y__h189.parquet,t2-F1-pause-2006,UST_2Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-qe3-end-2014/xy/UST_10Y__h126.parquet,t2-F1-qe3-end-2014,UST_10Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-qe3-end-2014/xy/UST_10Y__h189.parquet,t2-F1-qe3-end-2014,UST_10Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-sahm-watch-2024/xy/UNRATE__h145.parquet,t2-F1-sahm-watch-2024,UNRATE,145,macro_monthly,level,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
units/t2-F1-sahm-watch-2024/xy/UNRATE__h165.parquet,t2-F1-sahm-watch-2024,UNRATE,165,macro_monthly,level,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
units/t2-F1-third-cut-2019/xy/UST_2Y__h126.parquet,t2-F1-third-cut-2019,UST_2Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-third-cut-2019/xy/UST_2Y__h189.parquet,t2-F1-third-cut-2019,UST_2Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-ust-positioning-2018/xy/UST_10Y__h126.parquet,t2-F1-ust-positioning-2018,UST_10Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-ust-positioning-2018/xy/UST_10Y__h189.parquet,t2-F1-ust-positioning-2018,UST_10Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
