unit,asset,horizon_bd,target_type,panel,freq,asof,steps_ahead,n_train,n_predict,n_features,features,path
t2-F1-jpy-ycc-flex-2018,JPY,189,level,g10_fx_daily,daily,2018-07-31,189,4479,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-jpy-ycc-flex-2018/xy/JPY__h189.parquet
t2-F1-liftoff-telegraph-2015,UST_2Y,126,level,rates_daily,daily,2015-10-28,126,3834,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-liftoff-telegraph-2015/xy/UST_2Y__h126.parquet
t2-F1-liftoff-telegraph-2015,UST_2Y,189,level,rates_daily,daily,2015-10-28,189,3771,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-liftoff-telegraph-2015/xy/UST_2Y__h189.parquet
t2-F1-measured-pace-2004,UST_2Y,126,level,rates_daily,daily,2004-06-30,126,997,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-measured-pace-2004/xy/UST_2Y__h126.parquet
t2-F1-measured-pace-2004,UST_2Y,189,level,rates_daily,daily,2004-06-30,189,934,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-measured-pace-2004/xy/UST_2Y__h189.parquet
t2-F1-normalization-2017,UST_10Y,127,level,rates_daily,daily,2017-06-14,127,4239,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-normalization-2017/xy/UST_10Y__h127.parquet
t2-F1-patient-dropped-2015,UST_2Y,129,level,rates_daily,daily,2015-03-18,129,3675,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-patient-dropped-2015/xy/UST_2Y__h129.parquet
t2-F1-pause-2006,UST_10Y,126,level,rates_daily,daily,2006-08-08,126,1524,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-pause-2006/xy/UST_10Y__h126.parquet
t2-F1-pause-2006,UST_10Y,189,level,rates_daily,daily,2006-08-08,189,1461,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-pause-2006/xy/UST_10Y__h189.parquet
t2-F1-pause-2006,UST_2Y,126,level,rates_daily,daily,2006-08-08,126,1524,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-pause-2006/xy/UST_2Y__h126.parquet
t2-F1-pause-2006,UST_2Y,189,level,rates_daily,daily,2006-08-08,189,1461,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-pause-2006/xy/UST_2Y__h189.parquet
t2-F1-qe3-end-2014,UST_10Y,126,level,rates_daily,daily,2014-10-29,126,3584,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-qe3-end-2014/xy/UST_10Y__h126.parquet
t2-F1-qe3-end-2014,UST_10Y,189,level,rates_daily,daily,2014-10-29,189,3521,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-qe3-end-2014/xy/UST_10Y__h189.parquet
t2-F1-sahm-watch-2024,UNRATE,145,level,macro_monthly,monthly,2024-08-02,8,286,1,18,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_63,rv_252,ewma_vol,skew_252,last_step,ctx_cpi_yoy,ctx_core_yoy,ctx_unrate,ctx_unrate_chg_3,ctx_nfp_3m",units/t2-F1-sahm-watch-2024/xy/UNRATE__h145.parquet
t2-F1-sahm-watch-2024,UNRATE,165,level,macro_monthly,monthly,2024-08-02,9,285,1,18,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_63,rv_252,ewma_vol,skew_252,last_step,ctx_cpi_yoy,ctx_core_yoy,ctx_unrate,ctx_unrate_chg_3,ctx_nfp_3m",units/t2-F1-sahm-watch-2024/xy/UNRATE__h165.parquet
t2-F1-third-cut-2019,UST_2Y,126,level,rates_daily,daily,2019-10-30,126,4835,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-third-cut-2019/xy/UST_2Y__h126.parquet
t2-F1-third-cut-2019,UST_2Y,189,level,rates_daily,daily,2019-10-30,189,4772,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-third-cut-2019/xy/UST_2Y__h189.parquet
t2-F1-ust-positioning-2018,UST_10Y,126,level,rates_daily,daily,2018-09-28,126,4565,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-ust-positioning-2018/xy/UST_10Y__h126.parquet
t2-F1-ust-positioning-2018,UST_10Y,189,level,rates_daily,daily,2018-09-28,189,4502,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-ust-positioning-2018/xy/UST_10Y__h189.parquet
